Symbol,AssetType,Name,Description,CIK,Exchange,Currency,Country,Sector,Industry,Address,OfficialSite,FiscalYearEnd,LatestQuarter,MarketCapitalization,EBITDA,PERatio,PEGRatio,BookValue,DividendPerShare,DividendYield,EPS,RevenuePerShareTTM,ProfitMargin,OperatingMarginTTM,ReturnOnAssetsTTM,ReturnOnEquityTTM,RevenueTTM,GrossProfitTTM,DilutedEPSTTM,QuarterlyEarningsGrowthYOY,QuarterlyRevenueGrowthYOY,AnalystTargetPrice,AnalystRatingStrongBuy,AnalystRatingBuy,AnalystRatingHold,AnalystRatingSell,AnalystRatingStrongSell,TrailingPE,ForwardPE,PriceToSalesRatioTTM,PriceToBookRatio,EVToRevenue,EVToEBITDA,Beta,52WeekHigh,52WeekLow,50DayMovingAverage,200DayMovingAverage,SharesOutstanding,DividendDate,ExDividendDate,Error Message,Note
ADBE,Common Stock,Adobe Systems Incorporated,"Adobe Inc. is an American multinational computer software company. Incorporated in Delaware and headquartered in San Jose, California, it has historically specialized in software for the creation and publication of a wide range of content, including graphics, photography, illustration, animation, multimedia, motion pictures and print. The company has expanded into digital marketing management software. Adobe has millions of users worldwide. Flagship products include: Photoshop image editing software, Adobe Illustrator vector-based illustration software, Adobe Acrobat Reader and the Portable Document Format (PDF), plus a host of tools primarily for audio-visual content creation, editing and publishing.",796343,NASDAQ,USD,USA,TECHNOLOGY,SERVICES-PREPACKAGED SOFTWARE,"345 PARK AVE, SAN JOSE, CA, US",https://www.adobe.com,November,2024-11-30,192263307000,8134000000,35.71,1.445,32.69,None,None,12.37,46.48,0.256,0.368,0.16,0.354,20946999000,18571000000,12.37,0.233,0.106,573.34,9,19,8,1,2,35.71,21.69,9.18,13.63,8.86,23.93,1.299,638.25,403.75,470.15,502.96,435300000,None,2005-03-24,,
AMD,Common Stock,Advanced Micro Devices Inc,"Advanced Micro Devices, Inc. (AMD) is an American multinational semiconductor company based in Santa Clara, California, that develops computer processors and related technologies for business and consumer markets. AMD's main products include microprocessors, motherboard chipsets, embedded processors and graphics processors for servers, workstations, personal computers and embedded system applications.",2488,NASDAQ,USD,USA,MANUFACTURING,SEMICONDUCTORS & RELATED DEVICES,"2485 AUGUSTINE DRIVE, SANTA CLARA, CA, US",https://www.amd.com,December,2024-09-30,190436753000,4479000000,103.85,0.325,35.11,None,None,1.13,15.01,0.0752,0.106,0.0125,0.0326,24295000000,12663000000,1.13,1.611,0.176,169.82,7,30,12,0,0,103.85,25.19,7.84,3.342,7.74,39.37,1.706,227.3,112.8,128.0,148.42,1622810000,None,1995-04-27,,
ABNB,Common Stock,Airbnb Inc,"Airbnb, Inc. is an American company that operates an online marketplace for lodging, primarily homestays for vacation rentals, and tourism activities, based in San Francisco, California.",1559720,NASDAQ,USD,USA,TRADE & SERVICES,SERVICES-TO DWELLINGS & OTHER BUILDINGS,"888 BRANNAN ST., SAN FRANCISCO, CA, US",https://www.airbnb.com,December,2024-09-30,82832269000,1673000000,46.03,19.16,13.3,None,None,2.88,17.06,0.17,0.409,0.0466,0.209,10840001000,9005000000,2.88,-0.678,0.099,136.53,1,9,28,5,3,46.03,28.57,7.64,9.65,6.72,30.97,1.156,170.1,110.38,133.75,137.48,432877000,None,None,,
GOOGL,Common Stock,Alphabet Inc Class A,"Alphabet Inc. is an American multinational conglomerate headquartered in Mountain View, California. It was created through a restructuring of Google on October 2, 2015, and became the parent company of Google and several former Google subsidiaries. The two co-founders of Google remained as controlling shareholders, board members, and employees at Alphabet. Alphabet is the world's fourth-largest technology company by revenue and one of the world's most valuable companies.",1652044,NASDAQ,USD,USA,TECHNOLOGY,"SERVICES-COMPUTER PROGRAMMING, DATA PROCESSING, ETC.","1600 AMPHITHEATRE PARKWAY, MOUNTAIN VIEW, CA, US",https://abc.xyz,December,2024-09-30,2401823359000,123469996000,25.92,1.278,25.61,0.4,0.0041,7.54,27.44,0.277,0.323,0.165,0.321,339859014000,197550998000,7.54,0.366,0.151,215.59,16,36,11,0,0,25.92,22.17,7.07,7.61,6.87,18.42,1.034,202.29,130.19,186.18,173.3,5843000000,2024-12-16,2024-12-09,,
GOOG,Common Stock,Alphabet Inc Class C,"Alphabet Inc. is an American multinational conglomerate headquartered in Mountain View, California. It was created through a restructuring of Google on October 2, 2015, and became the parent company of Google and several former Google subsidiaries. The two co-founders of Google remained as controlling shareholders, board members, and employees at Alphabet. Alphabet is the world's fourth-largest technology company by revenue and one of the world's most valuable companies.",1652044,NASDAQ,USD,USA,TECHNOLOGY,"SERVICES-COMPUTER PROGRAMMING, DATA PROCESSING, ETC.","1600 AMPHITHEATRE PARKWAY, MOUNTAIN VIEW, CA, US",https://abc.xyz,December,2024-09-30,2401809990000,123469996000,26.12,1.29,25.61,0.4,0.0041,7.55,27.44,0.277,0.323,0.165,0.321,339859014000,197550998000,7.55,0.366,0.151,216,15,36,11,0,0,26.12,22.42,7.07,7.68,6.87,18.43,1.034,203.84,131.08,187.36,174.65,5534000000,2024-12-16,2024-12-09,,
AMZN,Common Stock,Amazon.com Inc,"Amazon.com, Inc. is an American multinational technology company which focuses on e-commerce, cloud computing, digital streaming, and artificial intelligence. It is one of the Big Five companies in the U.S. information technology industry, along with Google, Apple, Microsoft, and Facebook. The company has been referred to as one of the most influential economic and cultural forces in the world, as well as the world's most valuable brand.",1018724,NASDAQ,USD,USA,TRADE & SERVICES,RETAIL-CATALOG & MAIL-ORDER HOUSES,"410 TERRY AVENUE NORTH, SEATTLE, WA, US",https://www.aboutamazon.com,December,2024-09-30,2492791259000,111583003000,50.55,1.948,24.66,None,None,4.69,59.49,0.0804,0.11,0.0707,0.226,620127977000,300180013000,4.69,0.521,0.11,248.67,18,46,3,0,1,50.55,38.02,4.02,9.62,4.095,22.38,1.146,241.77,151.61,220.72,193.88,10515000000,None,None,,
AEP,Common Stock,American Electric Power Co Inc,"American Electric Power (AEP) is a major investor-owned electric utility in the United States, delivering electricity to more than five million customers in 11 states.",4904,NASDAQ,USD,USA,ENERGY & TRANSPORTATION,ELECTRIC SERVICES,"1 RIVERSIDE PLAZA, COLUMBUS, OH, US",https://www.aep.com,December,2024-09-30,52217999000,7258300000,19.77,1.613,49.99,3.52,0.0372,4.96,37.09,0.135,0.258,0.0261,0.102,19602201000,8837200000,4.96,-0.016,0.015,99.57,4,1,15,1,1,19.77,16.95,2.664,2.001,4.949,12.7,0.539,104.16,73.11,95.21,94.57,532565000,2025-03-10,2025-02-10,,
AMGN,Common Stock,Amgen Inc,"Amgen Inc. (formerly Applied Molecular Genetics Inc.) is an American multinational biopharmaceutical company headquartered in Thousand Oaks, California. Focused on molecular biology and biochemistry, its goal is to provide a healthcare business based on recombinant DNA technology.",318154,NASDAQ,USD,USA,LIFE SCIENCES,"BIOLOGICAL PRODUCTS, (NO DISGNOSTIC SUBSTANCES)","ONE AMGEN CENTER DRIVE, THOUSAND OAKS, CA, US",https://www.amgen.com,December,2024-09-30,151412294000,12247000000,36.02,2.004,14.0,8.88,0.034,7.82,60.64,0.13,0.242,0.046,0.557,32534000000,19712000000,7.82,0.621,0.232,316.04,5,10,14,2,1,36.02,13.53,4.654,20.12,6.23,15.04,0.599,341.72,253.3,273.05,304.23,537533000,2025-03-07,2025-02-14,,
ADI,Common Stock,Analog Devices Inc,"Analog Devices, Inc. (ADI), also known simply as Analog, is an American multinational semiconductor company specializing in data conversion, signal processing and power management technology, headquartered in Wilmington, Massachusetts.",6281,NASDAQ,USD,USA,MANUFACTURING,SEMICONDUCTORS & RELATED DEVICES,"ONE TECHNOLOGY WAY, NORWOOD, MA, US",https://www.analog.com,October,2024-10-31,104146002000,4361349000,64.19,0.969,70.88,0,0.0165,3.27,19.54,0.171,0.218,0.0286,0.0466,9700436000,5611931000,3.27,-0.546,-0.248,250.98,4,15,13,0,0,64.19,29.07,10.74,2.961,11.61,26.03,1.078,242.09,179.91,215.76,220.7,496146000,2024-12-20,2024-09-03,,
ANSS,Common Stock,ANSYS Inc,"Ansys, Inc. is an American company based in Canonsburg, Pennsylvania. It develops and markets multiphysics engineering simulation software for product design, testing and operation and offers its products and services to customers worldwide.",1013462,NASDAQ,USD,USA,TECHNOLOGY,SERVICES-PREPACKAGED SOFTWARE,"2600 ANSYS DRIVE, SOUTHPOINTE, CANONSBURG, PA, US",https://www.ansys.com,December,2024-09-30,30283061000,836109000,53.44,2.113,66.67,None,None,6.48,28.31,0.23,0.268,0.0609,0.105,2467743000,2278072000,6.48,1.284,0.312,350.71,0,1,10,0,1,53.44,30.86,12.27,5.25,12.23,34.53,1.111,363.03,289.82,343.83,327.81,87450000,None,None,,
